,smiles
110,CC1=C/C(=C2/C=C(c3ccc(Cc4ccc(C5=C/C(=C6/C=C(c7ccc(Cc8ccc(C)s8)s7)c7cc(C)sc76)c6sc(C)cc65)s4)s3)c3cc(C)sc32)c2sc(C)cc21
111,CC1=C2C(=O)N(C)C(=O)C2=C(c2ccc(C3=C4C(=O)N(C)C(=O)C4=C(c4sc5c(C)c6c(C)c(C)sc6c(C)c5c4C)C3)s2)C1
112,CC1=C2C(=O)N(C)C(c3ccc(-c4ccc(-c5[nH]c6nsnc6c5C)s4)s3)=C2C(=O)N1C
113,CC1=C2C=CCC2=C1C
114,CC1=CC(CC2=C(C)C(C)=C2C)=C1C
115,CC1=CC2(C(C)(C)C)C(=CC(c3ccccc3)=CC23N=CC=NC32C(=O)C(=O)c3c(-c4ccccc4)c(-c4ccccc4)c(-c4ccccc4)c(-c4ccccc4)c32)C=C1c1ccccc1
116,CC1=CC=C(c2c(S)c(S)c(C3=CC=C(C)C3)c3nsnc23)C1
117,CC1=CC=C(c2ccc(C3=C4C(=O)N(S)C(c5ccc(S)s5)=C4C(=O)N3S)s2)C1
118,CC1=CC=C(c2ccc(C3=C4C(=O)N(c5ccccc5)C(c5ccc(-c6ccccc6)s5)=C4C(=O)N3c3ccccc3)s2)C1
119,CC1=[N+](c2ccccc2)/C(=C2\C(=O)C(c3ccc(C)n3-c3ccccc3)=C2[O-])C=C1
120,CC1=[SH]C2=C(C1)[Si](O)(O)c1cc(C)sc12
121,CC1=[SH]C2=C(C1)[Si](S)(S)c1cc(C)sc12
122,CC1=c2c(C)c(C)c3c4c(c(C)c(C)c3c2NC1=O)=C(C)C(=O)N4
123,CC1COc2c(C=Cc3ccc(N)cc3)sc(C=CC3=C(C#N)C(=C(C#N)C#N)CC3)c2O1
124,CC=Cc1ccc(C2=c3cc4c(cc3NC2=O)=C(c2ccc(C)s2)C(=O)N4)s1
125,CC=Cc1ccc(C=Cc2ccc(C3=C4C(=O)N(O)C(c5ccc(-c6scc(C)c6OO)s5)=C4C(=O)N3O)s2)s1
126,CC=Cc1sc2c(C)c3c(C)c(C4=C5C(=O)N(C)C(c6cc7c(C)c8sc(C)cc8c(C)c7s6)=C5C(=O)N4C)sc3c(C)c2c1C
127,CCB1C(c2ccccc2)=C(c2ccccc2)N1CC
128,CCC(=Cc1ccc2ccccc2c1)c1ccc2cccc(-c3ccc(C4=C5C(=O)N(C)C(c6cc(C)cs6)=C5C(=O)N4C)s3)c2c1
129,CCC(C)(C)c1ccc(CN2C(=O)c3c(-c4ccccc4)sc(-c4cc5c(s4)C(C)(C)c4cc6c(cc4-5)C(C)(C)c4sc(C)cc4-6)c3C2=S)cc1
130,CCC(c1ccccc1)c1ccc(Cn2c(/N=N/c3cc(N(CC)CC)sc3-c3ccccc3)nc(C#N)c2C#N)cc1
131,CCC1(CCCCCCCOc2ccc(C#Cc3ccc4cc(-c5cc6ccc(C#Cc7ccc(OCCCCCCOCC8(CC)COC8)cc7)ccc-6c5)cc-4cc3)cc2)COC1
132,CCC1(COCCCCCCOc2cc3ccc(C#Cc4ccc(C#Cc5ccc6cc(OCCCCCCOCC7(CC)COC7)cc-6cc5)cc4)ccc-3c2)COC1
133,CCC1=CC=C(C2=C3C(=O)NC(C4=CC=C(C)C4)=C3C(=O)N2O)C1
134,CCCC1=C(C)C=C(c2ccc(C3=CC(C)=C(c4sc5c(C)c(C)sc5c4C)C3)c3nsnc23)C1
135,CCCC1=C(S)C=C(c2ccc(C3=CC(S)=C(c4sc5c(S)c(C)sc5c4S)C3)c3c2=NCN=3)C1
136,CCCCC(C)Cc1c(CC(CC)CCCC)c2cc(-c3ccccc3)sc2c2sc(-c3ccc(C4=C5C(=O)N(CC(CC)CCCC)C(c6ccc(-c7ccccc7)s6)=C5C(=O)N4CC(CC)CCCC)s3)cc12
137,CCCCC(CC)C(=O)c1cc2c(-c3cccs3)sc(-c3cccs3)c2s1
138,CCCCC(CC)CC1(CC(CC)CCCC)c2ccsc2-c2sc3c(c21)C=CN1C(=O)C2=C4c5sc6c(c5C=CN4C(=O)C2=C31)C(CC(CC)CCCC)(CC(CC)CCCC)c1ccsc1-6
139,CCCCC(CC)CCc1ccc2c(c1)C(=O)C(=C1C(=O)c3cc(C)ccc3N1CC(CC)CCCC)N2c1ccccc1
140,CCCCC(CC)CN1C(=O)/C(=C2/C(=O)N(CC(CC)CCCC)c3cc(-c4ccc(-c5ccc(C)s5)s4)ccc32)c2ccc(C)cc21
141,CCCCC(CC)CN1C(=O)/C(=C2/C(=O)N(CC(CC)CCCC)c3cc(-c4ccc(C)s4)ccc32)c2ccc(C)cc21
142,CCCCC(CC)CN1C(=O)C2=C(c3cc4sc(C5=C6C(=O)N(CC(CCC)CCCC)C(c7ccco7)=C6C(=O)N5CC(CC)CCCC)cc4s3)N(CC(CC)CCCC)C(=O)C2=C1c1ccco1
143,CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4cc5c(s4)-c4sc6c7c(sc6c4C5(O)O)-c4sc(C)cc4C7(O)O)s3)N(CC(CC)CCCC)C(=O)C2=C1c1ccc(C)s1
144,CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4ccc(-c5cccc(OC(=O)OC(C)(C)C)c5)s4)s3)N(CC(CC)CCCC)C(=O)C2=C1c1ccc(-c2ccc(-c3cccc(OC(=O)OC(C)(C)C)c3)s2)s1
145,CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4cccs4)s3)N(CC(CC)CCCC)C(=O)C2=C1c1ccc(-c2cccs2)s1
146,CCCCC(CC)Cc1c(CC(CC)CCCC)c2cc(-c3scc4nc(-c5ccccc5)c(-c5ccccc5)nc34)sc2c2sccc12
